gender,year_study,current_stay,preference,pref_reasons,pref_afford,pref_proximity,pref_social,pref_amenities,pref_security,change_accommodation,satisfaction,prefer_closer,distance_affects_attendance,commute_mode,commute_walk,commute_bike,commute_bus,commute_taxi,proximity_focus,funding_source,changed_before,less_pref_due_cost,amenities_list,amenity_water,amenity_electricity,amenity_internet,amenity_laundry,amenity_aircon,amenity_cleanbath,issues_basic_services,water_supply,electricity_supply,internet_access,room_cleanliness,bathroom_facility,hostel_management,study_space_conducive,env_collaboration,social_influence,rating,security_personnel,security_cctv,security_fencing,security_checkin,security_none,experienced_theft,security_confidence,focus_feeling,mental_health,consistent_study_routine,study_elsewhere,study_hours
Female,2,Off-Campus,Off-campus hostel,Proximity to lecture halls Access to social life,0,1,1,0,0,No,4,Maybe,Sometimes,Walking,1,0,0,0,3,Parents/Guardians,No,No,Water  Electricity Internet Laundry Services Air conditioning/Fans Clean bathroom Facilities,1,1,1,1,1,1,Rarely,4,4,2,4,3,3,Yes,3,Yes,3,1,1,1,0,0,No,Good,3,3,Sometimes,No,2
Male,3,Off-Campus,Off-campus hostel,Affordability Proximity to lecture halls,1,1,0,0,0,No,4,No,Not at all,Walking,1,0,0,0,4,Parents/Guardians,No,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Rarely,5,5,1,5,5,5,Not available foruse,5,No,4,1,0,1,0,0,No,Fair,4,4,Sometimes,No,2
Male,4,Off-Campus,Off-campus hostel,Proximity to lecture halls,0,1,0,0,0,Maybe,3,Yes,Not at all,Walking,1,0,0,0,3,Parents/Guardians,Yes,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Rarely,4,4,3,4,4,4,Yes,3,No,2,1,1,1,0,0,Yes,Good,3,3,Sometimes,Yes,10
Female,1,Off-Campus,Off-campus hostel,Proximity to lecture halls Access to social life,0,1,1,0,0,Yes,1,Yes,Sometimes,Walking,1,0,0,0,3,Parents/Guardians,No,No,Water  Electricity Internet Laundry Services Air conditioning/Fans Clean bathroom Facilities,1,1,1,1,1,1,Frequently ,1,1,2,5,1,1,No,3,No,1,0,0,1,0,0,Yes,Poor,3,1,Sometimes,Yes,10
Male,1,Off-Campus,On-campus hostel,"Affordability Proximity to lecture halls Access to social life Availability of amenities (Wi-Fi, water, etc.) Security",1,1,1,1,1,Yes,3,Maybe,Sometimes,Walking Shuttle/Bus,1,0,1,0,3,Parents/Guardians,No,Yes,Water  Electricity Internet Laundry Services Air conditioning/Fans Clean bathroom Facilities,1,1,1,1,1,1,Occasionally,3,3,3,3,3,3,Yes,3,Yes,4,1,1,0,0,0,No,Good,3,3,Sometimes,Yes,3
Female,1,Off-Campus,Off-campus hostel,Proximity to lecture halls,0,1,0,0,0,No,3,Maybe,Not at all,Walking,1,0,0,0,3,Parents/Guardians,No,No,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Rarely,3,3,2,4,4,3,Yes,3,No,3,1,1,1,1,0,No,Good,2,3,Sometimes,No,3
Female,3,Off-Campus,Off-campus hostel,"Affordability Proximity to lecture halls Access to social life Availability of amenities (Wi-Fi, water, etc.) Security",1,1,1,1,1,No,4,Maybe,Not at all,Shuttle/Bus,0,0,1,0,2,Parents/Guardians,No,No,Water  Electricity Air conditioning/Fans Clean bathroom Facilities,1,1,0,0,1,1,Rarely,4,4,1,4,4,4,No,2,No,3,1,0,1,1,0,Yes,Very good,4,3,Sometimes,No,4
Male,3,Off-Campus,Off-campus hostel,Access to social life,0,0,1,0,0,Yes,4,No,Sometimes,Walking,1,0,0,0,4,Parents/Guardians,No,No,Water  Electricity Internet Laundry Services Air conditioning/Fans Clean bathroom Facilities,1,1,1,1,1,1,Rarely,5,5,5,5,5,3,No,3,No,4,1,1,1,1,0,No,Very good,4,3,Sometimes,Yes,10
Male,3,Off-Campus,On-campus hostel,"Availability of amenities (Wi-Fi, water, etc.)",0,0,0,1,0,Yes,3,No,Not at all,Walking,1,0,0,0,5,Parents/Guardians,No,Yes,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Occasionally,3,3,1,2,2,1,No,1,Yes,1,0,0,1,0,0,No,Good,2,2,No,No,0
Male,3,Off-Campus,Off-campus hostel,Access to social life,0,0,1,0,0,Yes,3,Yes,Very much,Walking,1,0,0,0,2,Parents/Guardians,Yes,Yes,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Rarely,4,4,4,4,4,4,No,2,Yes,4,1,1,1,1,0,No,Fair,2,1,No,Yes,0
Female,1,Off-Campus,Off-campus hostel,Proximity to lecture halls,0,1,0,0,0,Maybe,4,Yes,Not at all,Walking,1,0,0,0,2,Parents/Guardians,No,No,Water  Electricity Clean bathroom Facilities,1,1,0,0,0,1,Occasionally,5,3,1,4,5,4,No,3,No,1,1,0,1,0,0,No,Very good,3,3,Sometimes,Yes,3
Male,3,Off-Campus,Off-campus hostel,Affordability,1,0,0,0,0,Yes,3,Yes,Not at all,Walking Shuttle/Bus,1,0,1,0,3,Parents/Guardians,Yes,Yes,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Occasionally,5,3,2,3,1,1,No,2,Yes,3,1,1,1,0,0,Yes,Good,3,3,Yes,No,12
Male,1,Off-Campus,Off-campus hostel,Proximity to lecture halls,0,1,0,0,0,Yes,3,No,Not at all,Walking,1,0,0,0,2,Parents/Guardians,No,No,Water  Electricity Clean bathroom Facilities,1,1,0,0,0,1,Occasionally,4,4,3,4,4,4,No,1,No,3,1,1,1,0,0,No,Good,3,3,Yes,No,3
Male,3,Off-Campus,Off-campus hostel,Affordability Proximity to lecture halls Access to social life,1,1,1,0,0,Yes,2,Maybe,Very much,Walking,1,0,0,0,5,Parents/Guardians,No,No,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Occasionally,3,4,3,4,4,3,No,1,Yes,5,1,0,1,1,0,No,Good,2,3,Sometimes,No,2
Female,2,Off-Campus,Off-campus hostel,Affordability Proximity to lecture halls Access to social life,1,1,1,0,0,No,4,Yes,Not at all,Walking,1,0,0,0,2,Parents/Guardians,Yes,No,Water  Electricity Clean bathroom Facilities,1,1,0,0,0,1,Occasionally,5,5,1,4,4,4,Yes,3,Yes,3,1,0,1,1,1,Yes,Excellent,3,4,Yes,No,15
Male,1,Off-Campus,Off-campus hostel,Affordability Proximity to lecture halls,1,1,0,0,0,Yes,3,Maybe,Very much,Walking,1,0,0,0,3,Parents/Guardians,No,No,Water  Electricity Clean bathroom Facilities,1,1,0,0,0,1,Occasionally,2,4,2,4,4,3,No,4,Yes,3,1,0,1,0,0,No,Good,4,4,Yes,No,5
